id;name;link;specialization;films_years;description;path_to_folder
2566;Евгений Никишов;https://www.kinopoisk.ru/name/1577435;Продюсер,Сценарист,Режиссер,Актер;137, 2007 — 2024;Кибердеревня. Фильм о фильме,Капитан Волконогов бежал,Нуучча,Эпидемия. Вонгозеро,Здоровый человек,Инсомния,Кибердеревня,Измены,Волшебный участок,Полицейский с Рублёвки;actors_ussr_russia/2566
4187;Антон Калинкин;https://www.kinopoisk.ru/name/1079130;Продюсер,Режиссер,Сценарист;23, 1997 — 2023;Евгений Гришковец: Как я съел собаку,Евгений Гришковец: Одновременно,Евгений Гришковец: Дредноуты,Евгений Гришковец: По По;actors_ussr_russia/4187
12328;Александр Мелкумов мл.;https://www.kinopoisk.ru/name/4262251;Оператор;13, 2015 — 2022;;actors_ussr_russia/12328
934;Вероника Саркисова;https://www.kinopoisk.ru/name/1665278;Актриса дубляжа,Актриса;482, 1987 — 2024;Турбозавры. Зимние приключения,Турбозавры, вперёд!,Ералаш,Лекс и Плу: Космические таксисты,Турбозавры;actors_ussr_russia/934
7435;Игорь Кулачко;https://www.kinopoisk.ru/name/1699254;Актер;168, 2000 — 2024;Калашников,Вторая Ударная. Преданная армия Власова,Московские тайны. Опасный переплет,Кухня,Анна-детективъ,Жёлтый глаз тигра,Игра. Реванш,Зворыкин-Муромец;actors_ussr_russia/7435
31405;Аквелина Ливмане;https://www.kinopoisk.ru/name/315881;Актриса;22, 1971 — 2017;Ранняя ржавчина,Незаконченный ужин;actors_ussr_russia/31405
4188;Виктория Райкова;https://www.kinopoisk.ru/name/2391014;Актриса;8, 2010 — 2019;Экипаж,Красивая жизнь;actors_ussr_russia/4188
26804;Алёна Винницкая;https://www.kinopoisk.ru/name/1304316;Актриса;5, 2001 — 2011;;actors_ussr_russia/26804
46403;Максим Паровой;https://www.kinopoisk.ru/name/5896165;Продюсер,Художник;1, 2019 — 2019;;actors_ussr_russia/46403
18833;Артем Нужин;https://www.kinopoisk.ru/name/6198109;Режиссер,Актер,Продюсер;2, 2019 — 2020;;actors_ussr_russia/18833
9072;Слава Могутин;https://www.kinopoisk.ru/name/804448;Актер;2, 1999 — 2004;;actors_ussr_russia/9072
935;Сергей Ершов;https://www.kinopoisk.ru/name/2342607;Актер,Сценарист,Продюсер;15, 2009 — 2023;Мама будет против,Моя любимая мишень;actors_ussr_russia/935
